p1,p2,is_train
0,21275,True
1,4164,True
1,15299,True
1,18901,True
2,18078,True
2,18729,True
2,22346,True
2,27912,True
3,14692,True
3,19791,True
3,19811,True
5,808,True
5,5706,True
5,29183,True
6,9469,True
6,17222,True
6,20147,True
7,5276,True
7,7289,True
7,8904,True
7,24226,True
7,25620,True
7,28591,True
8,9074,True
8,17899,True
8,22553,True
9,7531,True
9,8162,True
9,9047,True
9,9172,True
9,18584,True
9,21490,True
10,12375,True
10,19602,True
11,8654,True
11,15910,True
12,13463,True
12,22738,True
12,25595,True
13,457,True
13,2868,True
13,4474,True
13,7086,True
13,10036,True
13,12860,True
13,15957,True
14,8976,True
14,14777,True
15,20908,True
16,22042,True
17,8359,True
17,9453,True
17,9979,True
17,18220,True
17,29056,True
18,1448,True
18,10085,True
18,22112,True
18,22644,True
19,3722,True
19,18685,True
19,24143,True
20,423,True
20,2003,True
20,4798,True
20,16476,True
20,24063,True
20,24617,True
21,7168,True
21,9177,True
21,27339,True
23,4575,True
23,24886,True
24,3054,True
24,4842,True
24,7844,True
24,24034,True
24,29029,True
25,7180,True
25,16497,True
27,5589,True
27,12202,True
27,15557,True
27,20924,True
27,27172,True
28,11179,True
28,20710,True
31,8619,True
31,23852,True
32,4060,True
32,13809,True
32,18070,True
32,29120,True
34,7061,True
34,22947,True
34,25725,True
34,27420,True
35,1160,True
35,1315,True
35,5863,True
35,12471,True
35,22162,True
36,1583,True
36,12758,True
36,14039,True
36,14252,True
36,19661,True
37,13468,True
37,15775,True
37,23531,True
38,406,True
38,1599,True
38,6782,True
39,23587,True
40,10537,True
40,18167,True
41,7483,True
41,12462,True
41,19730,True
42,3219,True
42,7808,True
42,8357,True
42,16059,True
42,17083,True
43,10706,True
43,20511,True
43,22422,True
43,28213,True
44,67,True
44,16385,True
44,24180,True
45,19569,True
49,4698,True
49,5949,True
49,9205,True
49,15989,True
49,17400,True
49,26737,True
51,10787,True
51,20831,True
51,26891,True
54,5177,True
54,11487,True
54,13720,True
54,17192,True
