p1,p2,is_train
0,14559,True
0,31170,True
0,37255,True
0,43491,True
1,2619,True
1,10906,True
1,29972,True
1,33245,True
1,39810,True
1,40340,True
2,6509,True
2,27837,True
4,813,True
5,20496,True
6,7304,True
6,24682,True
8,23281,True
8,41244,True
10,20922,True
12,32147,True
12,32291,True
13,7170,True
13,18985,True
14,850,True
14,40463,True
14,43522,True
15,25170,True
15,42386,True
16,649,True
16,11943,True
16,36021,True
16,41371,True
17,5957,True
17,32950,True
18,1112,True
18,6635,True
18,20953,True
19,3539,True
19,8197,True
19,27795,True
19,30642,True
19,33179,True
19,33932,True
22,11014,True
23,4942,True
23,29496,True
24,4673,True
24,16900,True
25,34485,True
26,8042,True
26,18330,True
26,33359,True
28,8619,True
28,13238,True
28,22818,True
28,35068,True
28,36884,True
29,11712,True
29,14809,True
29,24215,True
29,26827,True
29,41568,True
30,11877,True
30,15019,True
31,6442,True
31,32871,True
33,22246,True
33,29812,True
34,24224,True
34,26910,True
35,21434,True
35,38248,True
36,12648,True
37,4803,True
37,12990,True
38,19512,True
38,27939,True
38,39120,True
39,21217,True
39,30070,True
40,1725,True
40,3692,True
40,12442,True
42,11213,True
42,17238,True
42,17846,True
42,31157,True
44,39776,True
46,35762,True
47,9734,True
47,24602,True
47,25991,True
48,4095,True
48,11268,True
48,22693,True
50,9888,True
50,19486,True
50,22447,True
50,38464,True
50,40923,True
53,25368,True
54,10810,True
54,21420,True
54,29040,True
54,39736,True
55,13941,True
55,22134,True
55,25538,True
55,31182,True
56,19119,True
56,35482,True
56,39510,True
57,9548,True
57,42180,True
59,8959,True
59,39379,True
60,23640,True
60,24905,True
60,31288,True
63,21066,True
63,27109,True
63,27715,True
63,34465,True
63,36405,True
64,20122,True
65,17720,True
65,25165,True
65,34255,True
67,5256,True
67,7992,True
67,41415,True
69,20657,True
69,21739,True
69,43281,True
71,19663,True
71,26465,True
71,32560,True
72,10074,True
72,10604,True
73,25235,True
73,27766,True
73,35716,True
73,36503,True
74,16800,True
74,37603,True
76,17596,True
78,9791,True
79,11558,True
79,11829,True
79,12578,True
80,3287,True
80,10699,True
80,32246,True
81,2815,True
81,34458,True
81,37751,True
81,41449,True
83,14498,True
83,23684,True
85,17064,True
85,25144,True
85,31902,True
85,34096,True
85,36263,True
85,37140,True
86,5553,True
86,10182,True
86,12836,True
86,24783,True
88,11589,True
88,32027,True
88,38516,True
89,26396,True
89,36780,True
90,33202,True
91,11609,True
91,15033,True
91,17047,True
91,25954,True
91,30093,True
91,34450,True
91,38246,True
91,41220,True
92,42965,True
94,6731,True
94,8111,True
94,13788,True
94,25805,True
94,36946,True
95,37840,True
95,42329,True
96,6053,True
97,15717,True
98,29766,True
99,279,True
99,8167,True
99,11109,True
99,30500,True
99,42694,True
100,5446,True
100,8713,True
100,28743,True
100,33959,True
100,34722,True
101,13692,True
101,14743,True
101,26650,True
101,27215,True
101,32066,True
102,14321,True
102,18987,True
102,31072,True
103,20205,True
103,38354,True
103,39893,True
104,10181,True
104,28676,True
104,28750,True
104,31292,True
104,32199,True
104,33448,True
105,5516,True
105,10673,True
105,14819,True
107,13785,True
107,24911,True
107,26252,True
108,3170,True
108,17566,True
110,7360,True
110,31413,True
110,32602,True
111,2278,True
111,18061,True
111,22246,True
111,29327,True
112,8887,True
112,14865,True
112,30050,True
112,31115,True
112,35210,True
113,9632,True
113,34904,True
113,38322,True
115,6415,True
115,18226,True
116,5475,True
116,14237,True
116,16809,True
116,24759,True
117,29902,True
117,41208,True
118,6520,True
118,21454,True
120,792,True
120,28959,True
121,7980,True
121,14875,True
121,27293,True
121,31783,True
122,4597,True
122,10816,True
122,13272,True
122,14896,True
124,11348,True
124,15267,True
124,17548,True
124,19258,True
126,18582,True
129,14910,True
129,28217,True
129,35187,True
130,27022,True
131,34128,True
131,38752,True
133,7722,True
134,394,True
134,4866,True
134,21871,True
135,9528,True
135,18390,True
136,3400,True
136,7043,True
136,20924,True
136,43358,True
137,14645,True
138,35224,True
